Family,Name,Base Ticker,Dissemination(s),Learn more
Benchmark Reference Rate,Kaiko AUDIO Benchmark Reference Rate,KK_BRR_AUDIOUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_BRR_AUDIOUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ARPA Reference Rate,KK_RFR_ARPAUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ARPAUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko QTUM Reference Rate,KK_RFR_QTUMUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_QTUMUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko SUSHI Reference Rate,KK_RFR_SUSHIUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_SUSHIUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko TOKE Reference Rate,KK_RFR_TOKEUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_TOKEUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ZRO Reference Rate,KK_RFR_ZROUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ZROUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko AUDIO Reference Rate,KK_RFR_AUDIOUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_AUDIOUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko FARM Reference Rate,KK_RFR_FARMUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_FARMUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko FTM Reference Rate,KK_RFR_FTMUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_FTMUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko LIT Reference Rate,KK_RFR_LITUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_LITUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko NMR Reference Rate,KK_RFR_NMRUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_NMRUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko SCRT Reference Rate ,KK_RFR_SCRTUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_SCRTUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko RAY Reference Rate,KK_RFR_RAYUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_RAYUSD"" target=""_blank"">Explore performance</a>"
